Date,China,United Kingdom,United States
1820,381000000,16186397,9980510
1821,383711494,16427955,10298969
1822,386442286,16661282,10625503
1823,389192512,16897898,10951077
1824,391962310,17139513,11276695
1825,394751821,17381418,11602355
1826,397561184,17629610,11928057
1827,400390540,17858803,12250905
1828,403240033,18093284,12580590
1829,406109805,18329053,12906416
1830,409000000,18569823,13240314
1831,409299014,18811881,13658580
1832,409598247,19028016,14077890
1833,409897699,19246151,14496235
1834,410197370,19468285,14914618
1835,410497259,19691420,15334042
1836,410797368,19918844,15752501
1837,411097697,20136267,16170997
1838,411398245,20354979,16590533
1839,411699012,20578690,17009101
1840,412000000,20804402,17443768
1841,412000000,21027114,18056100
1842,412000000,21284460,18667464
1843,412000000,21504941,19278865
1844,412000000,21751903,19890301
1845,412000000,21994095,20502776
1846,412000000,22231076,21114282
1847,412000000,22279863,21725822
1848,412000000,22246880,22337396
1849,412000000,22266109,22950007
1850,412000000,22287069,23579718
1851,408358528,22310067,24405303
1852,404749241,22567009,25230918
1853,401171855,22837200,26156953
1854,397626087,23117738,26882238
1855,394111659,23417123,27707943
1856,390628294,23728007,28534680
1857,387175716,23974430,29360442
1858,383753654,24230353,30186232
1859,380361838,24488987,31012051
1860,377000000,24746160,31838901
1861,375055482,25009641,32677742
1862,373120994,25291179,33515609
1863,371196483,25561448,34354509
1864,369281899,25828236,35192433
1865,367377190,26107967,36031388
1866,365482306,26385197,36869368
1867,363597195,26667813,37708378
1868,361721807,26955755,38546412
1869,359856092,27249851,39385476
1870,358000000,27544197,40240630
1871,358988000,27844139,41098000
1872,359978000,28050928,42136000
1873,360971000,28385947,43174000
1874,361967000,28730581,44212000
1875,362966000,29082812,45245000
1876,363967000,29444523,46287000
1877,364971000,29814831,47325000
1878,365978000,30173677,48362000
1879,366988000,30557062,49400000
1880,368000000,30920888,50458000
1881,369183000,31273446,51743000
1882,370369000,31576465,53027000
1883,371560000,31875253,54311000
1884,372754000,32184118,55595000
1885,373952000,32500733,56879000
1886,375154000,32822214,58164000
1887,376359000,33142079,59448000
1888,377569000,33464925,60732000
1889,378783000,33793233,62016000
1890,380000000,34127982,63302000
1891,381979000,34472021,64612000
1892,383969000,34836751,65922000
1893,385969000,35211963,67231000
1894,387979000,35593770,68541000
1895,390000000,35976405,69851000
1896,391980000,36367212,71161000
1897,393970000,36763751,72471000
1898,395970000,37166289,73781000
1899,397980000,37569674,75091000
1900,400000000,37975154,76391000
1901,402243000,38373808,77888000
1902,404498000,38737346,79469000
1903,406766000,39102443,80946000
1904,409047000,39474558,82485000
1905,411340000,39850962,84147000
1906,413646000,40231673,85770000
1907,415965000,40614789,87339000
1908,418297000,41003923,89055000
1909,420642000,41398500,90845000
1910,423000000,41795923,92767000
1911,427662000,42150769,94234000
1912,432375000,42318019,95703000
1913,437140000,42556673,97606000
1914,441958000,42965211,99505000
1915,446829000,43296057,100941000
1916,451753000,43473615,102364000
1917,456732000,43573615,103817000
1918,461766000,43529634,104958000
1919,466855000,43437404,105473000
1920,472000000,43718000,106881000
1921,473673000,44072000,108964000
1922,475352000,44372000,110484000
1923,477037000,44596000,112387000
1924,478728000,44915000,114558000
1925,480425000,45059000,116284000
1926,482128000,45232000,117857000
1927,483837000,45389000,119502000
1928,485552000,45578000,120971000
1929,487273000,45672000,122245000
1930,489000000,45866000,123668000
1931,492640000,46074000,124633000
1932,496307000,46335000,125436000
1933,500000000,46520000,126180000
1934,502639000,46666000,126978000
1935,505292000,46868000,127859000
1936,507959000,47081000,128681000
1937,510640000,47289000,129464000
1938,513336000,47494000,130476000
1939,516046000,47991000,131539000
1940,518770000,48226000,132637000
1941,521508000,48216000,133922000
1942,524261000,48400000,135386000
1943,527028000,48789000,137272000
1944,529810000,49016000,138937000
1945,532607000,49182000,140474000
1946,535418000,49217000,141940000
1947,538244000,49519000,144688000
1948,541085000,50014000,147203000
1949,543941000,50312000,149770000
1950,546815000,50127000,152271000
1951,557480000,50290000,154878000
1952,568910000,50430000,157553000
1953,581390000,50593000,160184000
1954,595310000,50765000,163026000
1955,608655000,50946000,165931000
1956,621465000,51184000,168903000
1957,637408000,51430000,171984000
1958,653235000,51652000,174882000
1959,666005000,51956000,177830000
1960,667070000,52372000,180671000
1961,660330000,52807000,183691000
1962,665770000,53292000,186538000
1963,682335000,53625000,189242000
1964,698355000,53991000,191889000
1965,715185000,54350000,194303000
1966,735400000,54643000,196560000
1967,754550000,54959000,198712000
1968,774510000,55214000,200706000
1969,796025000,55461000,202677000
1970,818315000,55632000,205052000
1971,841105000,55907000,207661000
1972,862030000,56079000,209896000
1973,881940000,56210000,211909000
1974,900350000,56224000,213854000
1975,916395000,56215000,215973000
1976,930685000,56206000,218035000
1977,943455000,56179000,220239000
1978,956165000,56167000,222585000
1979,969005000,56228000,225055000
1980,981235000,56314000,227726463
1981,993861000,56382597,229966237
1982,1000281000,56339704,232187835
1983,1023288000,56382623,234307207
1984,1036825000,56462228,236348292
1985,1051040000,56620240,238466283
1986,1066790000,56796260,240650755
1987,1084035000,56981620,242803533
1988,1101630000,57159603,245021414
1989,1118650000,57324472,247341697
1990,1135185000,57493307,250131894
1991,1150780000,57665646,253492503
1992,1164970000,57866349,256894189
1993,1178440000,58026920,260255352
1994,1191835000,58212518,263435673
1995,1204855000,58426014,266557091
1996,1217550000,58618663,269667391
1997,1230075000,58808266,272911760
1998,1241935000,59035652,276115288
1999,1252735000,59293320,279294713
2000,1262645000,59522468,282338631
2001,1271850000,59723243,285023886
2002,1280400000,59912431,287675526
2003,1288400000,60094648,290342554
2004,1295733978,60270708,293027571
2005,1303182268,60441457,295734134
2006,1310823807,60609153,298444215
2007,1318683096,60776238,301139947
2008,1326856173,60943912,303824646
